speed=20.0
extinguishingtime=30
firespreadchance=0.0115
modus0=DumbFireFighter
modus1=ContractFireFighter
lineofsight=variable
modus,numFireFighters,numFires,seed,amountOfTicks
1,1,2,1,unsuccessful
2,1,2,1,unsuccessful
0,1,3,1,unsuccessful
1,1,3,1,unsuccessful
2,1,3,1,unsuccessful
0,1,4,1,unsuccessful
1,1,4,1,unsuccessful
2,1,4,1,unsuccessful
0,1,5,1,unsuccessful
1,1,5,1,unsuccessful
2,1,5,1,unsuccessful
0,2,1,1,unsuccessful
1,2,1,1,unsuccessful
2,2,1,1,unsuccessful
0,2,2,1,unsuccessful
1,2,2,1,unsuccessful
2,2,2,1,unsuccessful
0,2,3,1,unsuccessful
1,2,3,1,unsuccessful
2,2,3,1,unsuccessful
0,2,4,1,unsuccessful
1,2,4,1,unsuccessful
2,2,4,1,unsuccessful
0,2,5,1,unsuccessful
1,2,5,1,unsuccessful
2,2,5,1,unsuccessful
0,3,1,1,3454
1,3,1,1,unsuccessful
2,3,1,1,unsuccessful
0,3,2,1,unsuccessful
1,3,2,1,unsuccessful
2,3,2,1,unsuccessful
0,3,3,1,unsuccessful
1,3,3,1,unsuccessful
2,3,3,1,unsuccessful
0,3,4,1,unsuccessful
1,3,4,1,unsuccessful
2,3,4,1,unsuccessful
0,3,5,1,unsuccessful
1,3,5,1,unsuccessful
2,3,5,1,unsuccessful
0,4,1,1,unsuccessful
1,4,1,1,unsuccessful
2,4,1,1,unsuccessful
0,4,2,1,unsuccessful
1,4,2,1,unsuccessful
2,4,2,1,unsuccessful
0,4,3,1,612
1,4,3,1,unsuccessful
2,4,3,1,unsuccessful
0,4,4,1,unsuccessful
1,4,4,1,unsuccessful
2,4,4,1,unsuccessful
0,4,5,1,unsuccessful
1,4,5,1,unsuccessful
2,4,5,1,unsuccessful
0,5,1,1,569
1,5,1,1,866
2,5,1,1,unsuccessful
0,5,2,1,721
1,5,2,1,unsuccessful
2,5,2,1,unsuccessful
0,5,3,1,unsuccessful
1,5,3,1,1532
2,5,3,1,unsuccessful
0,5,4,1,1996
1,5,4,1,unsuccessful
2,5,4,1,unsuccessful
0,5,5,1,unsuccessful
1,5,5,1,unsuccessful
2,5,5,1,unsuccessful
0,1,1,2,unsuccessful
1,1,1,2,unsuccessful
2,1,1,2,unsuccessful
0,1,2,2,unsuccessful
1,1,2,2,unsuccessful
2,1,2,2,unsuccessful
0,1,3,2,unsuccessful
1,1,3,2,unsuccessful
2,1,3,2,unsuccessful
0,1,4,2,unsuccessful
1,1,4,2,unsuccessful
2,1,4,2,unsuccessful
0,1,5,2,unsuccessful
1,1,5,2,unsuccessful
2,1,5,2,unsuccessful
0,2,1,2,438
1,2,1,2,439
2,2,1,2,unsuccessful
0,2,2,2,178
1,2,2,2,180
2,2,2,2,unsuccessful
0,2,3,2,unsuccessful
1,2,3,2,unsuccessful
2,2,3,2,unsuccessful
0,2,4,2,unsuccessful
1,2,4,2,unsuccessful
2,2,4,2,unsuccessful
0,2,5,2,unsuccessful
1,2,5,2,unsuccessful
2,2,5,2,unsuccessful
0,3,1,2,178
1,3,1,2,180
2,3,1,2,unsuccessful
0,3,2,2,178
1,3,2,2,180
2,3,2,2,unsuccessful
0,3,3,2,994
1,3,3,2,unsuccessful
2,3,3,2,unsuccessful
0,3,4,2,1064
1,3,4,2,unsuccessful
2,3,4,2,unsuccessful
0,3,5,2,unsuccessful
1,3,5,2,unsuccessful
2,3,5,2,unsuccessful
0,4,1,2,178
1,4,1,2,180
2,4,1,2,unsuccessful
0,4,2,2,178
1,4,2,2,180
2,4,2,2,unsuccessful
0,4,3,2,1088
1,4,3,2,1065
2,4,3,2,unsuccessful
0,4,4,2,805
1,4,4,2,979
2,4,4,2,unsuccessful
0,4,5,2,unsuccessful
1,4,5,2,unsuccessful
2,4,5,2,unsuccessful
0,5,1,2,178
1,5,1,2,180
2,5,1,2,unsuccessful
0,5,2,2,158
1,5,2,2,163
2,5,2,2,unsuccessful
0,5,3,2,541
1,5,3,2,855
2,5,3,2,unsuccessful
0,5,4,2,261
1,5,4,2,378
2,5,4,2,unsuccessful
0,5,5,2,unsuccessful
1,5,5,2,unsuccessful
2,5,5,2,unsuccessful
0,1,1,3,unsuccessful
1,1,1,3,unsuccessful
2,1,1,3,unsuccessful
0,1,2,3,unsuccessful
1,1,2,3,unsuccessful
2,1,2,3,unsuccessful
0,1,3,3,unsuccessful
1,1,3,3,unsuccessful
2,1,3,3,unsuccessful
0,1,4,3,unsuccessful
1,1,4,3,unsuccessful
2,1,4,3,unsuccessful
0,1,5,3,unsuccessful
1,1,5,3,unsuccessful
2,1,5,3,unsuccessful
0,2,1,3,96
1,2,1,3,100
2,2,1,3,unsuccessful
0,2,2,3,unsuccessful
1,2,2,3,unsuccessful
2,2,2,3,unsuccessful
0,2,3,3,unsuccessful
1,2,3,3,unsuccessful
2,2,3,3,unsuccessful
0,2,4,3,unsuccessful
1,2,4,3,unsuccessful
2,2,4,3,unsuccessful
0,2,5,3,unsuccessful
1,2,5,3,unsuccessful
2,2,5,3,unsuccessful
0,3,1,3,96
1,3,1,3,100
2,3,1,3,unsuccessful
0,3,2,3,1093
1,3,2,3,2588
2,3,2,3,unsuccessful
0,3,3,3,502
1,3,3,3,unsuccessful
2,3,3,3,unsuccessful
0,3,4,3,unsuccessful
1,3,4,3,unsuccessful
2,3,4,3,unsuccessful
0,3,5,3,unsuccessful
1,3,5,3,unsuccessful
2,3,5,3,unsuccessful
0,4,1,3,96
1,4,1,3,100
2,4,1,3,unsuccessful
0,4,2,3,215
1,4,2,3,215
2,4,2,3,unsuccessful
0,4,3,3,381
1,4,3,3,409
2,4,3,3,unsuccessful
0,4,4,3,unsuccessful
1,4,4,3,unsuccessful
2,4,4,3,unsuccessful
0,4,5,3,unsuccessful
1,4,5,3,unsuccessful
2,4,5,3,unsuccessful
0,5,1,3,96
1,5,1,3,100
2,5,1,3,unsuccessful
0,5,2,3,215
1,5,2,3,215
2,5,2,3,606
0,5,3,3,447
1,5,3,3,444
2,5,3,3,unsuccessful
0,5,4,3,unsuccessful
1,5,4,3,unsuccessful
2,5,4,3,unsuccessful
0,5,5,3,unsuccessful
1,5,5,3,unsuccessful
2,5,5,3,unsuccessful
0,1,1,4,unsuccessful
1,1,1,4,unsuccessful
2,1,1,4,unsuccessful
0,1,2,4,unsuccessful
1,1,2,4,unsuccessful
2,1,2,4,unsuccessful
0,1,3,4,unsuccessful
1,1,3,4,unsuccessful
2,1,3,4,unsuccessful
0,1,4,4,unsuccessful
1,1,4,4,unsuccessful
2,1,4,4,unsuccessful
0,1,5,4,unsuccessful
1,1,5,4,unsuccessful
2,1,5,4,unsuccessful
0,2,1,4,unsuccessful
1,2,1,4,unsuccessful
2,2,1,4,unsuccessful
0,2,2,4,unsuccessful
1,2,2,4,unsuccessful
2,2,2,4,unsuccessful
0,2,3,4,unsuccessful
1,2,3,4,unsuccessful
2,2,3,4,unsuccessful
0,2,4,4,unsuccessful
1,2,4,4,unsuccessful
2,2,4,4,unsuccessful
0,2,5,4,unsuccessful
1,2,5,4,unsuccessful
2,2,5,4,unsuccessful
0,3,1,4,unsuccessful
1,3,1,4,unsuccessful
2,3,1,4,unsuccessful
0,3,2,4,unsuccessful
1,3,2,4,unsuccessful
2,3,2,4,unsuccessful
0,3,3,4,unsuccessful
1,3,3,4,unsuccessful
2,3,3,4,unsuccessful
0,3,4,4,unsuccessful
1,3,4,4,unsuccessful
2,3,4,4,unsuccessful
0,3,5,4,unsuccessful
1,3,5,4,unsuccessful
2,3,5,4,unsuccessful
0,4,1,4,unsuccessful
1,4,1,4,unsuccessful
2,4,1,4,unsuccessful
0,4,2,4,unsuccessful
1,4,2,4,unsuccessful
2,4,2,4,unsuccessful
0,4,3,4,unsuccessful
1,4,3,4,unsuccessful
2,4,3,4,unsuccessful
0,4,4,4,unsuccessful
1,4,4,4,unsuccessful
2,4,4,4,unsuccessful
0,4,5,4,unsuccessful
1,4,5,4,unsuccessful
2,4,5,4,unsuccessful
0,5,1,4,unsuccessful
1,5,1,4,unsuccessful
2,5,1,4,unsuccessful
0,5,2,4,755
1,5,2,4,unsuccessful
2,5,2,4,unsuccessful
0,5,3,4,unsuccessful
1,5,3,4,unsuccessful
2,5,3,4,unsuccessful
0,5,4,4,unsuccessful
1,5,4,4,unsuccessful
2,5,4,4,unsuccessful
0,5,5,4,unsuccessful
1,5,5,4,unsuccessful
2,5,5,4,unsuccessful
0,1,1,5,229
1,1,1,5,302
2,1,1,5,unsuccessful
0,1,2,5,unsuccessful
1,1,2,5,unsuccessful
2,1,2,5,unsuccessful
0,1,3,5,unsuccessful
1,1,3,5,unsuccessful
2,1,3,5,unsuccessful
0,1,4,5,unsuccessful
1,1,4,5,unsuccessful
2,1,4,5,unsuccessful
0,1,5,5,unsuccessful
1,1,5,5,unsuccessful
2,1,5,5,unsuccessful
0,2,1,5,229
1,2,1,5,231
2,2,1,5,unsuccessful
0,2,2,5,480
1,2,2,5,482
2,2,2,5,unsuccessful
0,2,3,5,unsuccessful
1,2,3,5,unsuccessful
2,2,3,5,unsuccessful
0,2,4,5,unsuccessful
1,2,4,5,unsuccessful
2,2,4,5,unsuccessful
0,2,5,5,unsuccessful
1,2,5,5,unsuccessful
2,2,5,5,unsuccessful
0,3,1,5,229
1,3,1,5,231
2,3,1,5,unsuccessful
0,3,2,5,464
1,3,2,5,528
2,3,2,5,unsuccessful
0,3,3,5,534
1,3,3,5,607
2,3,3,5,unsuccessful
0,3,4,5,unsuccessful
1,3,4,5,unsuccessful
2,3,4,5,unsuccessful
0,3,5,5,unsuccessful
1,3,5,5,unsuccessful
2,3,5,5,unsuccessful
0,4,1,5,229
1,4,1,5,231
2,4,1,5,unsuccessful
0,4,2,5,415
1,4,2,5,420
2,4,2,5,unsuccessful
0,4,3,5,480
1,4,3,5,571
2,4,3,5,unsuccessful
0,4,4,5,431
1,4,4,5,588
2,4,4,5,unsuccessful
0,4,5,5,1693
1,4,5,5,unsuccessful
2,4,5,5,unsuccessful
0,5,1,5,229
1,5,1,5,231
2,5,1,5,unsuccessful
0,5,2,5,330
1,5,2,5,422
2,5,2,5,unsuccessful
0,5,3,5,419
1,5,3,5,423
2,5,3,5,unsuccessful
0,5,4,5,479
1,5,4,5,9180
2,5,4,5,unsuccessful
0,5,5,5,713
1,5,5,5,unsuccessful
2,5,5,5,unsuccessful
0,1,1,6,unsuccessful
1,1,1,6,unsuccessful
2,1,1,6,unsuccessful
0,1,2,6,unsuccessful
1,1,2,6,unsuccessful
2,1,2,6,unsuccessful
0,1,3,6,unsuccessful
1,1,3,6,unsuccessful
2,1,3,6,unsuccessful
0,1,4,6,unsuccessful
1,1,4,6,unsuccessful
2,1,4,6,unsuccessful
0,1,5,6,unsuccessful
1,1,5,6,unsuccessful
2,1,5,6,unsuccessful
0,2,1,6,856
1,2,1,6,859
2,2,1,6,unsuccessful
0,2,2,6,unsuccessful
1,2,2,6,unsuccessful
2,2,2,6,unsuccessful
0,2,3,6,unsuccessful
1,2,3,6,unsuccessful
2,2,3,6,unsuccessful
0,2,4,6,unsuccessful
1,2,4,6,unsuccessful
2,2,4,6,unsuccessful
0,2,5,6,unsuccessful
1,2,5,6,unsuccessful
2,2,5,6,unsuccessful
0,3,1,6,570
1,3,1,6,565
2,3,1,6,unsuccessful
0,3,2,6,unsuccessful
1,3,2,6,unsuccessful
2,3,2,6,unsuccessful
0,3,3,6,2959
1,3,3,6,unsuccessful
2,3,3,6,unsuccessful
0,3,4,6,unsuccessful
1,3,4,6,unsuccessful
2,3,4,6,unsuccessful
0,3,5,6,unsuccessful
1,3,5,6,unsuccessful
2,3,5,6,unsuccessful
0,4,1,6,403
1,4,1,6,461
2,4,1,6,unsuccessful
0,4,2,6,1813
1,4,2,6,unsuccessful
2,4,2,6,unsuccessful
0,4,3,6,3776
1,4,3,6,unsuccessful
2,4,3,6,unsuccessful
0,4,4,6,1355
1,4,4,6,unsuccessful
2,4,4,6,unsuccessful
0,4,5,6,unsuccessful
1,4,5,6,unsuccessful
2,4,5,6,unsuccessful
0,5,1,6,595
1,5,1,6,831
2,5,1,6,unsuccessful
0,5,2,6,1572
1,5,2,6,3383
2,5,2,6,unsuccessful
0,5,3,6,unsuccessful
1,5,3,6,unsuccessful
2,5,3,6,unsuccessful
0,5,4,6,960
1,5,4,6,unsuccessful
2,5,4,6,unsuccessful
0,5,5,6,unsuccessful
1,5,5,6,unsuccessful
2,5,5,6,unsuccessful
0,1,1,7,unsuccessful
1,1,1,7,unsuccessful
2,1,1,7,unsuccessful
0,1,2,7,unsuccessful
1,1,2,7,unsuccessful
2,1,2,7,unsuccessful
0,1,3,7,unsuccessful
1,1,3,7,unsuccessful
2,1,3,7,unsuccessful
0,1,4,7,unsuccessful
1,1,4,7,unsuccessful
2,1,4,7,unsuccessful
0,1,5,7,unsuccessful
1,1,5,7,unsuccessful
2,1,5,7,unsuccessful
0,2,1,7,unsuccessful
1,2,1,7,unsuccessful
2,2,1,7,unsuccessful
0,2,2,7,unsuccessful
1,2,2,7,unsuccessful
2,2,2,7,unsuccessful
0,2,3,7,unsuccessful
1,2,3,7,unsuccessful
2,2,3,7,unsuccessful
0,2,4,7,unsuccessful
1,2,4,7,unsuccessful
2,2,4,7,unsuccessful
0,2,5,7,unsuccessful
1,2,5,7,unsuccessful
2,2,5,7,unsuccessful
0,3,1,7,unsuccessful
1,3,1,7,unsuccessful
2,3,1,7,unsuccessful
0,3,2,7,unsuccessful
1,3,2,7,unsuccessful
2,3,2,7,unsuccessful
0,3,3,7,unsuccessful
1,3,3,7,unsuccessful
2,3,3,7,unsuccessful
0,3,4,7,unsuccessful
1,3,4,7,unsuccessful
2,3,4,7,unsuccessful
0,3,5,7,unsuccessful
1,3,5,7,unsuccessful
2,3,5,7,unsuccessful
0,4,1,7,unsuccessful
1,4,1,7,unsuccessful
2,4,1,7,unsuccessful
0,4,2,7,unsuccessful
1,4,2,7,unsuccessful
2,4,2,7,unsuccessful
0,4,3,7,unsuccessful
1,4,3,7,unsuccessful
2,4,3,7,unsuccessful
0,4,4,7,unsuccessful
1,4,4,7,unsuccessful
2,4,4,7,unsuccessful
0,4,5,7,unsuccessful
1,4,5,7,unsuccessful
2,4,5,7,unsuccessful
0,5,1,7,unsuccessful
1,5,1,7,unsuccessful
2,5,1,7,unsuccessful
0,5,2,7,unsuccessful
1,5,2,7,unsuccessful
2,5,2,7,unsuccessful
0,5,3,7,unsuccessful
1,5,3,7,unsuccessful
2,5,3,7,unsuccessful
0,5,4,7,unsuccessful
1,5,4,7,unsuccessful
2,5,4,7,unsuccessful
0,5,5,7,unsuccessful
1,5,5,7,unsuccessful
2,5,5,7,unsuccessful
0,1,1,8,unsuccessful
1,1,1,8,unsuccessful
2,1,1,8,unsuccessful
0,1,2,8,unsuccessful
1,1,2,8,unsuccessful
2,1,2,8,unsuccessful
0,1,3,8,unsuccessful
1,1,3,8,unsuccessful
2,1,3,8,unsuccessful
0,1,4,8,unsuccessful
1,1,4,8,unsuccessful
2,1,4,8,unsuccessful
0,1,5,8,unsuccessful
1,1,5,8,unsuccessful
2,1,5,8,unsuccessful
0,2,1,8,145
1,2,1,8,151
2,2,1,8,unsuccessful
0,2,2,8,unsuccessful
1,2,2,8,unsuccessful
2,2,2,8,unsuccessful
0,2,3,8,unsuccessful
1,2,3,8,unsuccessful
2,2,3,8,unsuccessful
0,2,4,8,unsuccessful
1,2,4,8,unsuccessful
2,2,4,8,unsuccessful
0,2,5,8,unsuccessful
1,2,5,8,unsuccessful
2,2,5,8,unsuccessful
0,3,1,8,51
1,3,1,8,51
2,3,1,8,unsuccessful
0,3,2,8,unsuccessful
1,3,2,8,unsuccessful
2,3,2,8,unsuccessful
0,3,3,8,2418
1,3,3,8,unsuccessful
2,3,3,8,unsuccessful
0,3,4,8,unsuccessful
1,3,4,8,unsuccessful
2,3,4,8,unsuccessful
0,3,5,8,unsuccessful
1,3,5,8,unsuccessful
2,3,5,8,unsuccessful
0,4,1,8,51
1,4,1,8,51
2,4,1,8,unsuccessful
0,4,2,8,1146
1,4,2,8,unsuccessful
2,4,2,8,unsuccessful
0,4,3,8,unsuccessful
1,4,3,8,unsuccessful
2,4,3,8,unsuccessful
0,4,4,8,unsuccessful
1,4,4,8,unsuccessful
2,4,4,8,unsuccessful
0,4,5,8,unsuccessful
1,4,5,8,unsuccessful
2,4,5,8,unsuccessful
0,5,1,8,51
1,5,1,8,51
2,5,1,8,unsuccessful
0,5,2,8,441
1,5,2,8,unsuccessful
2,5,2,8,unsuccessful
0,5,3,8,unsuccessful
1,5,3,8,unsuccessful
2,5,3,8,unsuccessful
0,5,4,8,977
1,5,4,8,unsuccessful
2,5,4,8,unsuccessful
0,5,5,8,unsuccessful
1,5,5,8,unsuccessful
2,5,5,8,unsuccessful
0,1,1,9,unsuccessful
1,1,1,9,unsuccessful
2,1,1,9,unsuccessful
0,1,2,9,unsuccessful
1,1,2,9,unsuccessful
2,1,2,9,unsuccessful
0,1,3,9,unsuccessful
1,1,3,9,unsuccessful
2,1,3,9,unsuccessful
0,1,4,9,unsuccessful
1,1,4,9,unsuccessful
2,1,4,9,unsuccessful
0,1,5,9,unsuccessful
1,1,5,9,unsuccessful
2,1,5,9,unsuccessful
0,2,1,9,448
1,2,1,9,485
2,2,1,9,unsuccessful
0,2,2,9,unsuccessful
1,2,2,9,unsuccessful
2,2,2,9,unsuccessful
0,2,3,9,unsuccessful
1,2,3,9,unsuccessful
2,2,3,9,unsuccessful
0,2,4,9,unsuccessful
1,2,4,9,unsuccessful
2,2,4,9,unsuccessful
0,2,5,9,unsuccessful
1,2,5,9,unsuccessful
2,2,5,9,unsuccessful
0,3,1,9,448
1,3,1,9,558
2,3,1,9,unsuccessful
0,3,2,9,unsuccessful
1,3,2,9,unsuccessful
2,3,2,9,unsuccessful
0,3,3,9,unsuccessful
1,3,3,9,unsuccessful
2,3,3,9,unsuccessful
0,3,4,9,unsuccessful
1,3,4,9,unsuccessful
2,3,4,9,unsuccessful
0,3,5,9,unsuccessful
1,3,5,9,unsuccessful
2,3,5,9,unsuccessful
0,4,1,9,388
1,4,1,9,598
2,4,1,9,unsuccessful
0,4,2,9,unsuccessful
1,4,2,9,unsuccessful
2,4,2,9,unsuccessful
0,4,3,9,unsuccessful
1,4,3,9,unsuccessful
2,4,3,9,unsuccessful
0,4,4,9,unsuccessful
1,4,4,9,unsuccessful
2,4,4,9,unsuccessful
0,4,5,9,unsuccessful
1,4,5,9,unsuccessful
2,4,5,9,unsuccessful
0,5,1,9,388
1,5,1,9,586
2,5,1,9,unsuccessful
0,5,2,9,941
1,5,2,9,unsuccessful
2,5,2,9,unsuccessful
0,5,3,9,unsuccessful
1,5,3,9,unsuccessful
2,5,3,9,unsuccessful
0,5,4,9,unsuccessful
1,5,4,9,unsuccessful
2,5,4,9,unsuccessful
0,5,5,9,3265
1,5,5,9,2357
2,5,5,9,unsuccessful
